accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.035334012137289865e-02,-6.538790835529821382e-04,-1.002939674090279398e+00
3.241551437907749106e-02,-1.318135362281081663e-03,-9.748277629265325928e+00
9.020830405925098520e-04,2.649090392648932590e-02,-9.792359917018952586e+00
-2.189537199389850891e-02,1.287584577131749980e-02,-9.806063441474501374e+00
-5.163818612899457455e-03,2.567770087707810928e-02,-9.785965116668496222e+00
6.353988045195991564e-03,9.001732906701861298e-03,-9.801099533897652094e+00
-1.081498928270481930e-03,7.062607838872886346e-03,-9.775160290519671946e+00
-1.969785218477596717e-02,1.353034400342756696e-02,-9.785990649709306766e+00
-1.572466695475482554e-02,-1.082128667875670996e-02,-9.790378972293870774e+00
-1.760782082751691235e-02,5.831731184370889803e-03,-9.813822393862119853e+00
8.307170016955991304e-03,-1.175308327284633157e-02,-9.786105705654755127e+00
1.160925977969542999e-02,-8.975584896957012129e-03,-9.811652401606785645e+00
-4.135891386865184031e-03,-2.570385768204502125e-02,-9.777576188398484192e+00
-1.162794916815771892e-02,-1.280107199181016939e-02,-9.777996694962196145e+00
-1.438595310554777879e-02,-2.272390790914297076e-02,-9.794619041757561817e+00
-1.026944630339421405e-03,4.567935844934388478e-03,-9.777859666049915077e+00
2.046771415626405521e-02,-9.275513148894350829e-03,-9.793504020015395994e+00
7.613875959346302902e-03,-1.984810372561037969e-02,-9.791827466133552704e+00
-2.241161603903317739e-03,-6.952215014317675822e-03,-9.807914461205459844e+00
-1.989194804381792803e-02,4.185244514679799938e-03,-9.804667774644155287e+00
-1.968646947438227809e-03,9.863904301259752982e-03,-9.805475554147076167e+00
-7.781081295452111149e-03,-1.561773264407500693e-03,-9.800876968234883080e+00
3.953233319418018171e-02,7.209350192284113765e-03,-9.798334117812746769e+00
9.281999483403776188e-03,3.895848774523951417e-04,-9.807692502408382751e+00
-6.851569336602531500e-03,-2.280425152770197694e-02,-9.816657381992175857e+00
1.976647330900777738e-02,-1.114226632763834317e-02,-9.790571731623142426e+00
-7.238621485537142380e-03,1.525110117838693758e-03,-9.807326329060225945e+00
-3.386333839148963475e-03,-3.698835616615261598e-03,-9.820537190953006146e+00
7.033266595852462680e-03,-1.119957880257387581e-03,-9.783468775747920176e+00
-2.656460929800124812e-02,-9.836148150794709472e-03,-9.818203673425689004e+00
1.788964145220602736e-02,1.632875028257124370e-02,-9.783918329089262400e+00
3.450407344978884388e-03,2.003162006606210715e-02,-9.817196052271556894e+00
-1.753668086857709807e-02,2.196381780580898384e-04,-9.776818719528913348e+00
6.770446988672255452e-03,7.385835673906974812e-04,-9.790936100032585188e+00
3.673907979513470028e-03,-1.984639843110435134e-02,-9.777672181965417764e+00
-2.679295335508704093e-03,-1.466074474755863118e-02,-9.813815648002881531e+00
3.748536225718007014e-02,-2.012241910541245557e-02,-9.821929444778181306e+00
6.801426440219465221e-03,-1.636737029224564349e-02,-9.781806680842306534e+00
-3.751246401814619953e-03,-1.745771097575616465e-02,-9.831849625970079387e+00
-1.650098553673967280e-02,5.713498989994168255e-03,-9.791591678390934916e+00
-2.020645078591530586e-03,-1.484835737129171045e-02,-9.793570484224193962e+00
1.518891630618525793e-02,9.741349441389355462e-03,-9.807384715631755512e+00
3.423229534450521780e-04,-1.465401391126608908e-02,-9.814716119114182291e+00
-8.370882756022964347e-03,-7.057629528560390927e-03,-9.804797957882053439e+00
1.419438417826232894e-03,-6.639222029088081081e-03,-9.790272268643665399e+00
-1.143483805045020923e-02,1.600107853681291548e-02,-9.792740973403825322e+00
-3.044605256461311530e-03,1.392032227261328671e-02,-9.799033225050427731e+00
1.703843863242737039e-02,1.193273534556946354e-03,-9.790185000048575503e+00
-1.104396071203867999e-02,6.504071793794245770e-03,-9.811016439257270960e+00
1.573761054400871912e-02,-3.129560644671288555e-03,-9.805708982958917019e+00
-1.983337857452625516e-02,1.728567252285668782e-03,-9.805091573604009625e+00
-2.728065732347943056e-02,2.078467362938164840e-03,-9.785109794991930343e+00
1.413984478372811923e-02,-3.007101319572817733e-02,-9.794238320759303562e+00
-9.469103987059888233e-03,-7.792922147905575678e-03,-9.826472150213506396e+00
3.295059351806658814e-04,1.807833504728242197e-02,-9.767621226207797491e+00
-2.124588596238096219e-02,5.795340078350184800e-04,-9.804264529854131993e+00
9.538841798243210407e-03,9.223089555251317434e-03,-9.809435556719130034e+00
-2.260765243741317404e-02,-1.635759839847473335e-02,-9.783649840779384377e+00
7.881380198166858253e-03,-1.788936505295272723e-03,-9.784016515054762664e+00
-9.540248424339327002e-03,1.231103051494628325e-03,-9.804884113322231087e+00
1.591573378323176899e-02,-2.156058391486390460e-02,-9.796643977457719643e+00
5.410854072976280064e-03,-1.536659008457819976e-02,-9.786968828815583166e+00
-1.218590240942483277e-03,1.124445134024844133e-02,-9.824813631617658416e+00
-7.799420759958226174e-03,-1.710923189861894914e-02,-9.794579016823387718e+00
-2.951798073087780888e-03,-6.269699614372006499e-03,-9.801841397130209188e+00
-2.139260960098588946e-02,-1.018223265599793592e-02,-9.782967684578984802e+00
1.314270704941319749e-02,9.072512008023171995e-03,-9.770228068408032485e+00
-1.011257829869776671e-02,1.041794989022322947e-02,-9.793464834682479747e+00
5.463978884638679562e-03,1.592341358938619694e-02,-9.786739345867333739e+00
1.834087442356557851e-02,-7.603913377736089274e-03,-9.781113443594938062e+00
2.541913829592686025e-02,-4.504656597704754725e-03,-9.810073092605220424e+00
-1.021529294231110149e-02,5.634611769182187001e-03,-9.797908959145054553e+00
6.942236141554996090e-03,1.402578097172855337e-02,-9.812530088508973236e+00
-1.886223398148844169e-02,-9.041752971940365119e-03,-9.791297740535860328e+00
-6.570141204984194377e-03,3.624253053403560937e-02,-9.775125650419846934e+00
-3.876660186886564385e-02,-8.002927818132271956e-03,-9.798653520675053130e+00
2.661000011806771010e-02,-1.961457580646182308e-02,-9.791234859358809217e+00
1.352624852617541860e-02,1.179236352567584849e-02,-9.770458250994806804e+00
-1.461810826944666625e-03,1.053033595304079563e-02,-9.816507490199759545e+00
-1.451160130819393983e-02,-1.620836236664769184e-02,-9.797520425429050661e+00
4.127133690411927992e-03,-2.901112581287893649e-02,-9.796516768528867658e+00
8.360693335399361700e-03,-2.437567021320757952e-03,-9.770299129358228640e+00
-1.344778154788078134e-02,-1.359606498236212366e-02,-9.801681514303286491e+00
6.046536602658156810e-03,-5.527297303624582967e-04,-9.815700334125899928e+00
-1.729714995870662228e-02,-3.939703256284021043e-03,-9.788121584377011075e+00
-3.784735124421265140e-02,2.792349824179868670e-02,-9.815693331821561785e+00
4.244324235070968607e-03,1.416826901602092487e-02,-9.776090181307688809e+00
-1.486815736785753600e-02,-1.143522098300898959e-02,-9.775324716709029360e+00
4.701645650415114952e-03,1.660331152403188640e-02,-9.780855702161986187e+00
-6.941628970446275457e-03,2.139860097480842174e-02,-9.785942139885364099e+00
-4.013454385622106796e-03,-1.711273676724061471e-02,-9.795657972792257695e+00
-1.340127072230069133e-02,1.017648151357803538e-02,-9.785116959106172629e+00
1.566425416421155349e-03,1.523352075923126679e-03,-9.788913126790625086e+00
-5.952751558843862728e-03,2.342005219942773497e-03,-9.789273972136488311e+00
-3.945906435455262887e-03,-1.281380545555328883e-02,-9.794529903339274313e+00
1.720870342297247182e-02,2.350564157857744710e-02,-9.790716468213213730e+00
-6.357440197577975474e-03,2.258946012038329058e-03,-9.776045087924323695e+00
8.595027341190907000e-03,8.147851545363481163e-03,-9.790287991249339683e+00
2.424719820503139570e-02,1.687601410021975779e-02,-9.794291314231839962e+00
1.598654978357565495e-02,-7.669811690094819299e-03,-9.773045496813431043e+00
1.221786253785673952e-02,-7.714363405660255510e-03,-9.794762506009519143e+00
1.502051355722048946e-02,-2.372236792503236436e-03,-9.790455262612772103e+00
3.655565309441353994e-02,-6.147971252908454500e-04,-9.795452848840147553e+00
-2.606533496629459545e-02,6.037732156768825867e-03,-9.809652159596845777e+00
2.132918400827956903e-02,-1.098935609398592542e-02,-9.808125299574021128e+00
2.409114804379237917e-02,7.150921384561602367e-03,-9.811107481392165042e+00
1.109289946428366515e-02,3.239281910656830431e-04,-9.776331431105667491e+00
5.787023561483854717e-03,-6.503866951213129605e-03,-9.793386335533178055e+00
1.655602573646917236e-02,2.567422703888509739e-04,-9.786769595335147898e+00
-4.650081829207329889e-03,1.889862601612338558e-02,-9.795088511254061103e+00
2.678589967928130325e-02,5.714355926047891537e-04,-9.788947378946561528e+00
-3.831861502334860982e-03,-1.351454210723786881e-02,-9.806167006996677316e+00
-2.573024351490134452e-03,8.845282326679880514e-03,-9.763766997212616872e+00
-2.840904657408995643e-02,1.488479282592040931e-02,-9.788258763205142543e+00
-6.290612258838751761e-03,2.760175431757581638e-03,-9.782859941825901018e+00
1.282293371721146200e-02,-1.425036906446026756e-02,-9.791204949508626854e+00
3.026711168011529673e-03,-1.435241019493111586e-02,-9.795712466534551410e+00
-1.495360363960386921e-02,5.539745913763981580e-03,-9.814680459088338083e+00
3.211193243779232251e-03,-5.103062451208527361e-04,-9.812857238037091534e+00
-7.347330798340407677e-03,1.511891112544375311e-02,-9.772790374343104602e+00
6.817316437776986884e-03,2.626773473415187042e-03,-9.817226553078706175e+00
-7.539954913180315840e-03,2.848430677866782990e-04,-9.789005185364619166e+00
-1.233813109749640549e-02,-9.322460583652041055e-03,-9.786284451142428509e+00
-2.213451977870028661e-02,1.090608564296094256e-02,-9.803329714147505314e+00
2.348677209657298870e-02,5.101485378463941830e-03,-9.804472498219054089e+00
-1.349449180901158771e-02,-1.605087196241084674e-02,-9.786318057588056618e+00
-2.210958032006290694e-02,2.890604448928823546e-03,-9.791432692199299126e+00
-3.500018474784207315e-03,-1.873459177374807438e-02,-9.779045816796164914e+00
2.039856430404769598e-03,-7.646180480818925290e-03,-9.790744818560991547e+00
3.104257443751100125e-03,3.150440978693865024e-02,-9.818278911010963839e+00
-1.145551513803241134e-02,7.763329209204550621e-03,-9.808245929486883341e+00
-1.721960409927618136e-03,1.735272774971655455e-02,-9.814423331385533800e+00
-2.211651659859700109e-02,1.638668547782122509e-02,-9.808845879556814751e+00
-8.592408790490620174e-03,1.719995038947428473e-02,-9.808910474612726915e+00
-1.346433685710082644e-02,4.689079618098956209e-03,-9.799234920947412775e+00
1.890423151890609568e-02,1.991880713241818424e-02,-9.796584629191444904e+00
4.157706598311725413e-03,1.050588947344140850e-02,-9.815252239939761481e+00
3.316544727176287764e-03,7.718124424191396236e-03,-9.797079230048199250e+00
-8.891257601041603273e-03,3.419766712274328792e-03,-9.765668363208522607e+00
1.551118486122958062e-03,2.113544049237355699e-02,-9.784973682072784840e+00
-2.457196770195171215e-02,1.490651021712581341e-02,-9.803237330393601567e+00
-5.514991624114396786e-03,1.215662529517440305e-02,-9.774666391203822968e+00
6.971935709455194530e-03,3.444211162348265014e-03,-9.800776002978436097e+00
1.328428317842304980e-02,-4.004466008863531365e-03,-9.791898342455153781e+00
-1.871583082105257936e-02,1.835102355089996166e-03,-9.786600866744588956e+00
-2.619611543907515716e-02,-8.889481447862380287e-03,-9.818466838053851120e+00
-3.101019813294986910e-05,6.739411902344983295e-03,-9.782448216494952220e+00
-1.038100533941616055e-02,-1.630924314431740586e-03,-9.811231526165096639e+00
1.396104048943467776e-03,-1.633001710224020811e-02,-9.799558217811348726e+00
7.388827766538686413e-03,-1.587320085907439199e-02,-9.788031026430827453e+00
-7.333252657197339257e-04,9.661428372497043310e-03,-9.798823509623213468e+00
3.000817707596208084e-02,2.432950893511931674e-03,-9.799435215316275816e+00
-6.987264983571536692e-03,9.693566477121065995e-04,-9.781170684125275017e+00
-2.029206738431454590e-02,4.139699231430834722e-03,-9.790346262699479496e+00
-3.200310015124291363e-02,-1.549321435215627631e-02,-9.799066055302299461e+00
-1.509958481478960654e-02,-1.037652360272158913e-03,-9.806958534688533291e+00
1.307824574795368386e-02,-7.012639797951466386e-03,-9.794529346798897862e+00
-1.169140592797619435e-02,4.994410370146789646e-04,-9.797892405065049104e+00
-4.109442452685443427e-03,-1.414537031721401113e-02,-9.781629426633633884e+00
-1.906073139230799948e-02,-8.934815212481541508e-03,-9.795408079161578740e+00
-1.018446293346983271e-02,-2.586151440531888820e-03,-9.782260928145245060e+00
-1.745592471016474759e-02,1.532607236751080959e-02,-9.786045013591603947e+00
1.648243780522189519e-02,-1.810862759120340088e-02,-9.826918461371214164e+00
-1.152253193117982848e-02,-3.144516316604943629e-03,-9.792214244234394016e+00
9.905777606151256950e-03,-1.713930155373858538e-02,-9.788927859640775608e+00
1.041184605941497185e-02,1.432842224686295754e-03,-9.794199810540346718e+00
1.662940278016059731e-02,-1.436885192399931302e-02,-9.801043635430282563e+00
-2.843992714276981360e-03,4.435952999127582702e-03,-9.791629952715648955e+00
6.152857456247751676e-03,-5.918119461458387458e-03,-9.785654400367883810e+00
1.577230053181273919e-02,9.829287019760712951e-03,-9.797796496956925338e+00
1.680374932654959269e-02,5.267312661925256483e-03,-9.795055228959228089e+00
-2.931835077300290991e-03,-2.511046924353072668e-02,-9.806565937983311443e+00
-1.798271228878650999e-02,6.559163697726816226e-03,-9.782850873562946248e+00
-1.744305203513283947e-03,-1.514747700978130718e-02,-9.798661143336936163e+00
1.421475957028834605e-03,1.878747299685218364e-02,-9.791605619124496229e+00
-5.640619513693785787e-03,-2.244478351687418174e-03,-9.802282305998947010e+00
4.614833818776232187e-03,-1.814970737744651258e-02,-9.779601261036413362e+00
3.372709257979802921e-02,-2.769196127510123798e-02,-9.798526014844984644e+00
5.283533085971603947e-03,-2.657275696666900125e-04,-9.790257889600876950e+00
4.324963716938041948e-04,-1.645828670292855817e-02,-9.796736819521376205e+00
-5.741426955554935520e-03,1.054665928644536906e-03,-9.789784941910927074e+00
7.775978305009478841e-03,-1.008548740369598004e-02,-9.801503550459997882e+00
5.441659530218773133e-03,-2.459527727759555638e-02,-9.777506834612205822e+00
1.062962622953124436e-02,-1.917430702561694761e-02,-9.775683154596782387e+00
-4.289687265845372119e-03,-2.500414020829531958e-03,-9.766914444456135769e+00
-8.613633228112409917e-03,3.305750153281404591e-03,-9.783010926529270179e+00
7.152009337935730585e-03,7.600970139341049411e-03,-9.768754300225491960e+00
-7.721189031610220348e-03,-6.830647262721889837e-03,-9.800181162576301119e+00
3.162386273383601884e-03,7.851261706517089628e-03,-9.789372855409114393e+00
3.259583848455422164e-03,7.399046557361389082e-03,-9.795831097951792188e+00
-6.535207571068691809e-03,-2.161026328974145587e-03,-9.780438619024431901e+00
-1.713489610364777455e-02,-2.184786200701034631e-02,-9.792611240420644236e+00
-1.622087548289026515e-02,-3.275579972636006448e-02,-9.787775347478685717e+00
2.087344340334517517e-02,-2.019373864864682649e-02,-9.784919370502151992e+00
8.221380015786493994e-03,5.521830168045653055e-03,-9.803812226208936664e+00
1.477643891582132267e-02,-4.514848758755893310e-03,-9.777331955409948705e+00
3.083033310685587974e-02,-2.979130654071391812e-02,-9.797797876584494858e+00
1.707307996832763825e-02,-4.744677146955396732e-03,-9.786555103240907272e+00
6.581072937695234704e-04,-1.428053780771776013e-02,-9.799537606384054911e+00
4.910614740208400428e-03,9.674418265393737101e-03,-9.780432471121805804e+00
