gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
3.727116684498081589e-02,2.429552182165781865e-02,1.717521128199213029e-02
1.482816426430528384e-02,-1.424193683902446120e-02,4.615979177070057837e-02
8.212578817572281642e-02,-2.438103854840564452e-02,-3.877594856271044527e-02
-7.917771236830087322e-03,-3.270017094966355675e-02,2.678181563425876405e-02
7.274931904157262708e-02,-1.278714786044556420e-02,-2.612572359126564062e-02
-3.499633964904455552e-02,1.031059370084645190e-02,4.723290791374653436e-02
-1.415315188939782198e-02,-4.415706282176148217e-02,4.475345248437128981e-04
8.649385117423986219e-03,1.367715834540009397e-02,-7.508887673863406942e-02
4.332783486211262691e-02,-2.896612747086654838e-02,5.011892793571157134e-02
-2.571121469461844569e-02,3.814911308119264127e-02,-2.633176700170749771e-02
-2.253534062851131337e-02,4.939601243884480380e-02,1.253408050545367670e-02
-2.176060312302256425e-02,-1.199116849195741227e-02,-3.944596134843463692e-02
-3.223309084098008315e-02,-4.169477224319904224e-02,2.795777076746033124e-02
2.375001334196615368e-02,-7.335886108507568004e-02,3.245846945022339003e-02
-1.282840030612953861e-02,2.372429848908256048e-02,-4.513356000380254474e-02
-4.455079359531814720e-02,3.289313865330271980e-02,4.380194070477053114e-02
-8.976524104988468922e-03,-2.325781526830008293e-03,-2.471933655772247385e-02
3.404497787210346987e-02,-2.832404584190295702e-03,9.153434633056763137e-02
1.439803916244169167e-02,-2.555036201445318525e-02,3.871606147970427930e-02
-2.427721222263871242e-02,5.107298751885033100e-02,-3.663939802369702708e-02
-5.827646201530695125e-02,3.376254120511523737e-02,-4.031313451635486211e-02
-3.048709070262398124e-02,-2.617421612375874299e-02,-2.847746365767540866e-02
2.002536745210817259e-02,4.976454789271484574e-02,7.397610790399317127e-02
-4.126660550798113419e-02,3.014738161362328847e-02,-3.065781896733752246e-02
-2.913633334827104085e-02,6.831143935787366284e-02,-6.314919020813324069e-02
2.721302193344820111e-02,2.518182690954880523e-02,4.131591473499898748e-02
5.164744215468316385e-02,2.731552691573298566e-02,-2.560324053497406438e-02
2.588218487750391233e-02,-4.105097416683804040e-02,-2.263093213908995080e-02
-7.311273156580548084e-03,-4.909978936109779535e-02,-3.499661269869373814e-02
1.083016308241585568e-01,-9.469386509198018595e-03,1.828833909581537021e-02
-3.009825416722104741e-02,7.683228293653039664e-04,4.590614819154359427e-02
4.113667218929200481e-02,2.897060399784440188e-02,5.459568287339024856e-02
2.231752333053935600e-03,-4.743305477872191561e-02,9.848045425429033731e-03
-7.265166368713792122e-02,-4.904366562905008997e-02,-3.763957644634805672e-02
3.959678453191216307e-02,1.057068160127665538e-02,-2.113350904824872617e-02
-1.141334701662309777e-02,-5.381640671851561919e-02,-6.467027209433297286e-03
3.097128478716268743e-02,2.489365397530569554e-02,-3.147981343996407444e-02
4.978165600887245884e-03,-1.936695899067222837e-02,-5.510012524557623970e-02
-4.756455177162658560e-02,1.533715055422771485e-02,1.976323379587322307e-02
3.800571939517876242e-03,-4.185836404861165150e-02,-2.892426199435877560e-02
-1.676966714913731516e-03,-1.470819798927209925e-02,-1.352224217577726456e-02
6.725352500652530263e-02,-3.132625253520602421e-02,3.060998432991643772e-02
3.553128672051751591e-02,2.611326120319012664e-02,-2.818996679021206278e-02
-7.112560801503619960e-03,5.969288250724966161e-02,6.949285094345722391e-02
1.915919595239191225e-02,-1.413644297400639890e-02,1.234283463323901896e-02
-4.812913306194066543e-02,2.236542680309020967e-02,-5.734024031637936780e-02
1.645531392020063016e-02,-3.571557949393966425e-02,1.830937468952674799e-02
-6.115065244758342844e-02,-3.321563865094531026e-02,2.053388649966694443e-02
-1.409745584837426109e-03,-3.788848651565520503e-02,5.941864321785325642e-04
-2.306001059200820801e-04,1.534497914380315506e-02,-3.459753966149243382e-03
-6.571724139597521185e-03,-3.384380324333115947e-02,1.683629561295033050e-02
2.477789416460058833e-02,2.413766186793974561e-02,7.657159542668158514e-02
-5.842581262032536110e-02,3.037221207767185072e-02,-8.806668954147551034e-03
5.713915678791513415e-03,3.357276332631510540e-02,5.419628038312192947e-03
1.595066362776554822e-02,-2.956126436874309191e-02,-1.107672327699297382e-02
1.401993175416541698e-02,3.487877040977718779e-02,5.714802046113980419e-03
4.468185360231918118e-02,-2.163459727778840533e-02,-2.788833458594424525e-02
1.757877267269799051e-02,-2.837105676094274151e-02,5.526568616121105455e-03
-2.162755507150437503e-02,-1.648451690176536795e-03,-5.857674456553373446e-03
2.728015554668829223e-02,7.683864596188266782e-02,3.993509769967695799e-02
-1.100719110224723275e-02,-1.881650705516606584e-02,-5.121930450381458055e-03
-7.674747106530587296e-03,-4.565019745957945435e-02,5.923869579096012472e-02
2.931174381061351503e-02,-5.392598059410329964e-02,1.101071400829106012e-02
-7.878450564151002339e-03,-2.167124488704150892e-02,-3.607238237460429209e-02
2.009049806428277185e-02,-3.034011608357179215e-02,5.070874068165687198e-02
-4.062010645709435847e-02,4.406823652339995206e-02,4.575624274995675200e-02
-6.450135821435841466e-02,-4.153640095092986373e-02,3.120290515748046570e-02
-1.475879067251889207e-02,-6.760692003352525292e-02,5.227254906468677131e-02
-6.759303385241863943e-03,-2.173357768202059670e-02,5.728466220710007328e-02
-1.467027738022759096e-04,1.145475045653848896e-02,-2.577145189363898303e-02
6.759586463400411860e-02,-3.035639020647015740e-02,-3.232398079859723217e-02
2.509439709239756275e-02,-3.038803356806031412e-03,-2.105088872560949981e-02
-3.849820945522182403e-02,6.664713000161914813e-03,-4.523723009930688543e-03
4.025018570975649052e-02,-9.063748305562738250e-03,4.550870639136449930e-02
-1.849056501192479843e-02,4.411839137412137263e-02,5.523164578658804752e-02
1.071283042061274516e-03,-1.751869382528641397e-02,-1.946662819330509733e-02
2.655172868944805087e-02,-1.482919114449413045e-02,2.416171506490234419e-02
-1.744876295274453912e-02,4.074871804419052945e-02,1.914386873077460541e-02
3.764384647873450507e-02,7.180571792426503064e-02,2.954298833053465786e-02
-8.339717246711578214e-02,-1.003558709189433101e-02,-1.480016173356253628e-02
3.310446658837419565e-02,-3.707726178633729934e-03,1.555077364728120991e-02
1.969447351582790523e-02,1.785784568276688189e-02,-1.208276609668642275e-02
2.520971754241070270e-02,3.287084526338206972e-03,1.382359076363838188e-02
9.075524162448781601e-03,-2.225166321928771784e-02,-6.151070543146448105e-02
-6.199479344824380955e-02,2.088799920456725981e-02,4.193590263913080096e-02
-3.094624471451972586e-02,-2.162766226656947371e-02,1.274228605562681416e-02
1.800624206469310026e-02,-1.891407538056187956e-02,5.708552307472485737e-02
3.421761779129890019e-02,-3.271084637188794580e-02,-4.409761251443455876e-02
-3.277560209829390864e-02,-2.538167475913426924e-02,1.935200136515848393e-02
-5.210601434768075829e-02,3.662423243062945533e-02,-5.525111974812093457e-02
-1.281212905376213386e-02,-1.352369632842178454e-02,-3.376466200279281543e-02
-2.809545535344188175e-02,-1.917016396484523891e-02,-3.229041115007228596e-02
2.379030857483391877e-03,-1.573248052700132807e-02,-5.620389987879192972e-02
2.696171097777422948e-02,3.270086330980492839e-02,-2.023538541268300739e-02
-1.243273042331458772e-02,-1.016030441666610287e-02,5.311527443409445187e-02
-4.622447314910764146e-03,-1.016561747194119972e-02,3.839983065198544071e-02
-4.088272669528389414e-02,-6.891815749130898727e-02,1.439056249397459818e-02
4.461535112796279762e-02,1.315192079946039642e-02,-3.990208774141557058e-02
-2.243546674133858193e-02,7.693917314285010634e-02,-3.817823549763547757e-03
-1.524154637061648186e-02,-1.838485448363647587e-03,-7.172004421715192334e-03
-8.670420240242183649e-03,-4.438195871625036371e-02,-3.455292813656329204e-02
-6.500916106086911637e-03,5.684037530982154196e-02,-1.806085256960626717e-02
1.250523147930273325e-02,5.526262627889327872e-02,-2.972818554248945686e-03
-5.018902174508314828e-02,-4.386523269067096886e-02,1.661618924780002005e-02
-2.772219257894237288e-02,-3.713884087717291699e-02,1.366317501236860750e-02
1.918937612637765591e-02,-4.606439153275348336e-02,2.093079790433831702e-02
-2.747083214478353297e-02,-4.728872991261975911e-02,-8.186855739306586263e-04
-5.517880696213557472e-03,-2.440239152656832264e-02,1.916430469255719568e-02
-1.862034214784285754e-02,3.976951903448366216e-02,-8.001585752052825518e-02
-2.292740392132183377e-02,-2.901958774765716915e-03,1.016089424635985847e-03
-3.191286878935437055e-02,3.922333583708970985e-03,-4.643634135841027966e-02
-8.623264913280918875e-02,-7.108419292582608684e-02,3.586244558687468834e-03
-5.776102877062685471e-03,-3.133856335253090014e-02,2.308208204391328303e-02
6.626872952650699443e-03,2.117773639538733654e-02,-4.785616158749553956e-02
-1.928510179103252661e-02,2.452402031052130019e-02,-7.632598653374043918e-02
3.778981559183022809e-02,1.509322527274182743e-02,-3.866974728518081383e-02
-5.665985929092009826e-04,-3.487535407902453422e-02,-3.101226667225470950e-03
-6.775663224047304145e-02,-3.571728677552152287e-02,2.458169952658702945e-02
-5.064082898487377166e-02,2.944501446422844240e-02,3.649814618318344799e-03
-2.657129643166479538e-02,1.828168448511718457e-03,-2.016300264222994562e-02
-1.677215981420622504e-02,3.928411201978541240e-02,3.371210018007590042e-02
7.331645500459973291e-03,-1.150487241000231094e-02,1.671112955461727737e-02
-1.878768155774389326e-02,1.282324959397528920e-03,-2.683561013231858250e-02
-1.435490230788825927e-02,-1.100927903155502277e-02,-3.524426842644094726e-02
2.814145409153594873e-02,-9.907341563643062843e-03,1.354787615350372919e-02
6.405493444777790937e-03,2.727736261707326346e-02,-8.950542933224243242e-03
-5.678729000951765124e-03,3.101174428608938910e-02,-2.659414951359359222e-02
-6.685356120666904878e-02,-5.521528633086095206e-03,2.942160851700815431e-03
-2.571676611003488426e-03,1.162979811810532955e-02,2.511895891923433127e-02
4.265117456996662948e-02,-2.199635815230785787e-02,-4.993426067117059768e-03
8.773746944066792425e-03,1.533673093801750896e-02,-3.127255834525714123e-02
-3.018724661993523600e-02,2.679037766444860441e-02,-1.083682789248553539e-03
-6.440167497863587276e-02,-2.938140643668521804e-02,1.354257909806603696e-02
5.738605702241939693e-02,-6.919414906200718231e-03,-1.586468704477578956e-02
4.373490373180454263e-03,-6.736117458531859503e-02,1.861234359068069874e-02
-5.396063897749212024e-02,2.520696788940490762e-02,2.415934792142116622e-02
-7.085262543283028791e-02,1.869857859886393456e-02,-2.676168275203657382e-02
-3.111419709195200126e-02,1.960716132097328410e-02,2.900386264243754592e-02
7.517830470055722296e-03,-6.743924834785096183e-03,4.086639957488978625e-02
-3.623545046629370742e-02,3.594234444764155684e-02,3.123125384832076135e-02
4.466099942563002412e-02,4.427412901524141464e-02,2.523029451113062687e-03
-5.198163408911924549e-02,1.781336463274726251e-02,-1.365525205078830726e-02
6.148582842606344773e-02,2.277219240760558136e-02,4.264473513672428773e-02
2.407284666417749963e-02,-8.574190565549101584e-02,-9.022365278970476132e-03
4.246373789915427327e-02,1.204339336405634529e-02,1.744906837351939063e-02
-6.235730312947444787e-02,3.316701993805344639e-02,-5.412499034257278047e-02
8.537812133704544490e-03,-2.671995566549544010e-02,-3.535281670207288899e-03
-2.472854048030321064e-02,1.327214768346857013e-04,-8.304931596880721703e-03
6.435591983549599892e-04,3.438767972512357662e-02,-6.257166513923577943e-03
-4.951581044517801809e-03,7.452195098044895119e-03,6.746643214720853161e-03
-4.992744764348183706e-02,-6.144156647654892139e-02,-1.828103167447950317e-02
-2.477286955685337189e-02,-4.709043309434671025e-03,-8.518350179042334658e-02
-1.462156687799125686e-02,1.329481823304505365e-02,2.814500489087620391e-02
-2.854603543570362681e-02,2.393315194005051633e-02,-2.621128032163641194e-02
-5.315815759259550494e-02,-3.594130310314085086e-02,5.785280491081146170e-02
-1.090177150300249663e-02,-9.207831960361616275e-03,-2.928210976146395847e-02
6.929723314909976006e-02,-7.354735132766771800e-03,-5.480171837922526851e-02
7.713979903340916974e-03,3.687440936388892976e-02,-1.336406668790623281e-02
-7.599556617795845230e-03,-1.831042091521761436e-02,-6.859646723914782085e-02
-1.143943212003599484e-03,-8.021879176791030588e-03,5.321709450544614278e-02
2.503977027433676103e-02,2.724175935510331215e-02,9.598770241402458311e-03
-6.093392173377800564e-02,-5.700254514315528619e-03,1.770437371689671802e-02
-3.085841882997242616e-02,-1.823604678993113667e-02,-1.116119920747267111e-02
-1.587723726174739003e-02,-4.420418878035772305e-03,5.500371296653012478e-03
-8.045761450637773857e-03,3.932837791048585108e-02,7.054184418164059778e-02
-1.606637123688538574e-02,2.044954422104457159e-03,2.753988990720044380e-03
-2.515694699221230485e-02,8.465149462461513466e-03,-5.795097566522360022e-02
-5.649295889324933498e-03,6.070592270060057305e-02,-4.118314770458865459e-02
-4.124094978776656102e-03,-2.156075967289452708e-02,-1.877888315090935414e-02
