ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
